PUBLICATION_ID|YEAR|PUBLICATION_NUMBER|TITLE_FRENCH|TITLE_ENGLISH|URL_FRENCH|URL_ENGLISH|DATE_PUBLISHED|PDF|TAXONOMY|SERIES|DESCRIPTION_E|DESCRIPTION_F|URL_INUKTITUT
10308|2004|2004/048|Cadre révisé pour l'évaluation de l'étendue des dommages admissibles en vertu de l'article 73 de la Loi sur les espèces en péril.|Revised Framework for Evaluation of Scope for Harm under Section 73 of the Species at Risk Act.|http://waves-vagues.dfo-mpo.gc.ca/Library/314616.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/286840.pdf|04-FEB-05|||5|species at risk - allowable harm|espèces en péril -  dommages admissibles|
10309|2005|2005/032|Crabe des neiges de l'est de la Nouvelle-Écosse.|Eastern Nova Scotia Snow Crab.|http://waves-vagues.dfo-mpo.gc.ca/Library/336802.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/315362.pdf|02-JUN-05|||7|Stock status, Stock assessment, Sustainable Fisheries and Aquaculture (SFA)|Évaluation des stocks, Évaluation des populations, État des stocks, Pêches et aquaculture durables (PAD)|
10310|2004|2004/046|Atténuation des effets des pluies acides sur le saumon atlantique et son habitat; les 19 et 20 avril 2004.|Mitigation for acid rain impacts on Atlantic salmon and their habitat; 19-20 April 2004.|http://www.dfo-mpo.gc.ca/csas-sccs/Publications/Pro-Cr/2004/2004_046-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/Publications/Pro-Cr/2004/2004_046-eng.htm|06-MAR-05|||3|salmon (Atlantic)|saumon Atlantique|
10311|2005|2005/022|Crabe des neiges du sud du golfe du Saint-Laurent (zones 12, E et F).|Southern Gulf of St. Lawrence Snow Crab (Areas 12, E and F).|http://waves-vagues.dfo-mpo.gc.ca/Library/336784.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/315357.pdf|06-JUN-05|||7|Stock status, Stock assessment, Sustainable Fisheries and Aquaculture (SFA)|Évaluation des stocks, Évaluation des populations, État des stocks, Pêches et aquaculture durables (PAD)|
10312|2005|2005/023|Crabe des neiges de l'ouest du Cap-Breton (zone 19).|Western Cape Breton Snow Crab (Area 19).|http://waves-vagues.dfo-mpo.gc.ca/Library/315360.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/315359.pdf|06-JUN-05|||7|Stock status, Stock assessment, Sustainable Fisheries and Aquaculture (SFA)|Évaluation des stocks, Évaluation des populations, État des stocks, Pêches et aquaculture durables (PAD)|
10313|2004|2004/041|Compte rendu des réunions des équipes de rétablissement des espèces en péril - Région des Maritimes, réunions de 2003; du 1 er avril 2003 au 31 mars 2004.|Proceedings of the Maritimes Region Species at Risk Recovery Team, Meetings of 2003; 1 April 2003 to 31 March 2004.|http://waves-vagues.dfo-mpo.gc.ca/Library/315111.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/315111.pdf|06-JUN-05|||3|species at risk|espèces en péril|
10314|2004|2004/045|Compte rendu de l'examen par les pairs des impacts possibles de l'énergie sismique sur le crabe des neiges; le 29 septembre 2004.|Proceedings of the Peer Review on Potential Impacts of Seismic Energy on Snow Crab; September 29, 2004.|http://waves-vagues.dfo-mpo.gc.ca/Library/315147.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/315147.pdf|06-JUN-05|||3|crab|crabe|
10315|2004|2004/120|Le chenal Laurentien comme zone auxiliaire d'échange des eaux de lest : Risques, analyse et recommandations.|The Laurentian Channel as an Alternative Ballast Water Exchange Zone : Risks, Analysis and Recommendations.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_120-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_120-eng.htm|06-JUN-05|||4|ballast water|eaux de lest|
10316|2004|2004/048|Atelier sur le maintien de la diversité des types d'écosystème : distribution des communautés benthiques dans la region de Scotian-Fundy; du 7 au 9 décembre 2004.|Workshop on the Maintenance of the Diversity of Ecosystem Types: Benthic Community Distributions of the Scotian-Fundy Area; 7-9 December 2004.|http://waves-vagues.dfo-mpo.gc.ca/Library/334810.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/334810.pdf|07-JUN-05|||3|ecosystems|écosystème|
10318|1999|1999/007|Procès-verbaux des séances d’examen par
les pairs pour le crabe des neiges
du sud du Golfe St-Laurent, du 22 au 23 janvier 1998 et du 23 avril 1998|Proceedings of the Peer Review of Snow Crab in the Southern Gulf of St. Lawrence;22-23 January 1998 and 23 April 1998|http://waves-vagues.dfo-mpo.gc.ca/Library/234918.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/234918.pdf||||3|||
10319|1997|1997/002||Fall Meeting, Scotian Shelf Subcommittee; 10-13 September 1996 - Regional Advisory Process (RAP) of the Maritimes Region|http://waves-vagues.dfo-mpo.gc.ca/Library/214851.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/214851.pdf||||3|||
10302|2005|2005/003|Compte rendu de la réunion du sous-comité du poisson de fond du CEESP; 18-20 janvier 2005.|Proceedings of the PSARC Groundfish Subcommittee Meeting; January 18-20, 2005.|http://waves-vagues.dfo-mpo.gc.ca/Library/315758.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/315758.pdf|10-MAY-05|||3|groundfish|poissons de fond|
10320|1999|1999/021||Newfoundland 1999 Shellfish RAP Proceedings|http://waves-vagues.dfo-mpo.gc.ca/Library/256029.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/256029.pdf||||3|||
10321|1999|1999/019|Réunion du Groupe de travail CICTA-PCR; le 29 juin 1999|Meeting of the ICCAT RAP Working Group; June 29, 1999|http://waves-vagues.dfo-mpo.gc.ca/Library/238409.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/237470.pdf||||3|||
10323|1999|1999/015|Procès-verbaux du Processus consultatif régional des Maritimes sur le pétoncle et mactre de stimpson, du 29 au 30 mars et du 21 avril 1999|Proceedings of the Maritimes Regional Advisory Process of Sea Scallop and Stimpson's Surfclam; March 29-30 and April 21, 1999|http://waves-vagues.dfo-mpo.gc.ca/Library/238529.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/238529.pdf||||3|surfclam|mactre|
10324|1999|1999/013||Proceedings of the Transboundary Resources Assessment Committee; 20-22 April 1999|http://waves-vagues.dfo-mpo.gc.ca/Library/237466.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/237466.pdf||||3|||
10326|1999|1999/011|Procès-verbal du processus consultatif régional des Maritimes des stocks de crabe des neiges, du 21 au 22 janvier 1999|Proceedings of the Maritimes Regional Advisory Process of Snow Crab Stocks; 21-22 January, 1999|http://waves-vagues.dfo-mpo.gc.ca/Library/240109.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/240109.pdf||||3|||
10327|1999|1999/009|Procès-verbal du Processus consultatif régional des Maritimes des stocks de homards, du 7 au  9 juillet 1998|Proceedings of the Maritimes Regional Advisory Process of Lobster Stocks; 7-9 July, 1998|http://waves-vagues.dfo-mpo.gc.ca/Library/235332.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/235332.pdf||||3|||
10288|2004|2004/100|Évaluation de la morue de la division 4X en 2004.|Assessment of cod in Division 4X in 2004.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_100-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_100-eng.htm|01-APR-05|||4|cod|morue|
10289|2004|2004/102|Biologie, pêche et état des stocks de morue du Nord de 2GH et de 2J3KL : information à l'appui d'une évaluation des dommages admissibles en vertu de la Loi sur les espèces en péril pour la population de morue (Gadus morhua) de Terre-Neuve-et-Labrador définie par le COSEPAC.|Biology, fishery and status of the 2GH and 2J3KL (northern) cod stocks: information supporting an assessment of allowable harm under the Species at Risk Act for the COSEWIC-defined Newfoundland and Labrador population of Atlantic cod (Gadus morhua).|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_102-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_102-eng.htm|11-MAY-05|||4|cod|morue|
10290|2004|2004/103|Évaluation du risque posé par la carpe d'Asie au Canada.|Risk Assessment for Asian Carps in Canada.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_103-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_103-eng.htm|05-MAY-05|||4|Aquatic Invasive species (AIS), Non-native species, Alien Invasive Species, Healthy & Productive Aquatic Ecosystem (HAPAE)|Espèces aquatiques envahissantes (EAE), espèces étrangères, Espèces exotiques envahissantes, Écosystèmes aquatiques sains et productifs (EASP)|
10291|2004|2004/104|Observations sur les interactions entre les phoques et les saumons dans les cours d'eau de Terre-Neuve et du Labrador|Observations on interactions between seals and salmon in Newfoundland and Labrador Rivers.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_104-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_104-eng.htm|09-MAY-05|||4|seals, salmon (atlantic)|phoques, saumon (Atlantique)|
